"","st.select"
"1",9217900
"2",9223000
"3",9312600
"4",10396000
"5",11381500
"6",11383500
"7",11473900
"8",11478500
"9",11482500
"10",11523200
"11",11528700
"12",11532500
"13",12041200
"14",12060500
"15",12083000
"16",12332000
"17",12358500
"18",12390700
"19",12411000
"20",12413000
"21",12414500
"22",12451000
"23",12452800
"24",13011500
"25",13011900
"26",13161500
"27",13185000
"28",13310700
"29",13337000
"30",13338500
"31",13340000
"32",13340600
"33",14222500
"34",14309500
"35",14400000
