"station","with_SM","without_sm","LT","PRE_wo_p","cluster","rmse_w_sm_wo_p","rmse_wo_sm_wo_p","regime","PRE"
9312600,0.782284744307067,0.688324578841515,1,31.5723753844047,1,31.3651823857301,37.9168355643692,"Interior",3157.23753844047
11383500,0.454059246048873,0.381476589874908,1,13.4322348138882,2,71.7056195724683,77.068177626655,"Maritime",1343.22348138882
12332000,0.645325155789169,0.611848541399482,1,10.3818454311511,1,48.0445890450831,50.7512197663809,"Interior",1038.18454311511
13161500,0.662492366764806,0.586312179143377,1,20.0465994175051,1,24.5323197571616,27.4359590985505,"Interior",2004.65994175051
13185000,0.707966135499907,0.679546200375962,1,10.6211787844762,1,72.826345285077,77.0320054768408,"Interior",1062.11787844762
13338500,0.582179905620918,0.551440360932383,1,8.64423437296211,1,43.7892491716017,45.8141378073166,"Interior",864.423437296211
9312600,0.776309167251106,0.688324578841515,2,29.6942592076333,1,31.7927049384075,37.9168355643692,"Interior",2969.42592076333
11381500,0.740173333586914,0.712453183290319,2,11.3779096332048,2,65.7179122639508,69.8092164433834,"Maritime",1137.79096332048
11383500,0.52074035547309,0.381476589874908,2,24.0056067067325,2,67.1840013059387,77.068177626655,"Maritime",2400.56067067325
11473900,0.368142550859747,0.327607933656551,2,7.87099991212731,2,80.4654487450011,83.8322763173592,"Maritime",787.099991212731
11528700,0.387621206078797,0.329134317169552,2,10.5079627778263,2,62.4824411335788,66.0489307625034,"Maritime",1050.79627778263
12332000,0.639236075028479,0.611848541399482,2,8.84327513302949,1,48.455250293597,50.7512197663809,"Interior",884.327513302949
12411000,0.673211745327129,0.638729067210882,2,11.2843475433945,1,87.3945160023314,92.7863425609321,"Interior",1128.43475433945
12413000,0.594012653537371,0.568712263267798,2,7.67650837718251,1,92.2025413176709,95.9592358587647,"Interior",767.650837718251
13161500,0.688329686100265,0.586312179143377,2,26.1672951866767,1,23.5746110481175,27.4359590985505,"Interior",2616.72951866767
13185000,0.711718552881199,0.679546200375962,2,11.7696299848965,1,72.3569504524796,77.0320054768408,"Interior",1176.96299848965
13338500,0.578741275440281,0.551440360932383,2,7.89238280553775,1,43.9690711794799,45.8141378073166,"Interior",789.238280553775
9312600,0.777796551262009,0.688324578841515,3,30.1617420876609,1,31.6868292737271,37.9168355643692,"Interior",3016.17420876609
11383500,0.491896879479106,0.381476589874908,3,19.4320055624185,2,69.176146571706,77.068177626655,"Maritime",1943.20055624185
12060500,0.368156274881431,0.251217494889441,3,18.0990365080785,2,142.721464518162,157.704755004755,"Maritime",1809.90365080785
12332000,0.637699477750469,0.611848541399482,3,8.4550124337755,1,48.558333066509,50.7512197663809,"Interior",845.50124337755
12411000,0.660322317860342,0.638729067210882,3,7.78515823301727,1,89.101387869891,92.7863425609321,"Interior",778.515823301727
13161500,0.689554820612606,0.586312179143377,3,26.4575217202034,1,23.5282310960728,27.4359590985505,"Interior",2645.75217202034
13185000,0.709445547890619,0.679546200375962,3,11.0739623539428,1,72.6416458246663,77.0320054768408,"Interior",1107.39623539428
9312600,0.776961351795536,0.688324578841515,4,29.8992399704388,1,31.7463243023785,37.9168355643692,"Interior",2989.92399704388
11383500,0.457133164666501,0.381476589874908,4,13.9196544893131,2,71.503465420494,77.068177626655,"Maritime",1391.96544893131
12332000,0.633463425543568,0.611848541399482,4,7.38465972160494,1,48.8413824379521,50.7512197663809,"Interior",738.465972160494
13161500,0.704760531389775,0.586312179143377,4,30.0596573911953,1,22.9447866840104,27.4359590985505,"Interior",3005.96573911953
13185000,0.705870484837335,0.679546200375962,4,9.97979157337031,1,73.087181057072,77.0320054768408,"Interior",997.979157337031
9223000,0.655885745291374,0.635102021355153,5,7.50930598719768,1,64.1110079365035,66.662805303846,"Interior",750.930598719768
9312600,0.762313622468169,0.688324578841515,5,25.2954774977825,1,32.7721951439647,37.9168355643692,"Interior",2529.54774977825
11473900,0.368637867990677,0.327607933656551,5,7.94322042968398,2,80.4339038695266,83.8322763173592,"Maritime",794.322042968398
13161500,0.70922376615129,0.586312179143377,5,31.1169691721484,1,22.7706941797606,27.4359590985505,"Interior",3111.69691721484
13185000,0.703177015343841,0.679546200375962,5,9.15543810764947,1,73.4210636764937,77.0320054768408,"Interior",915.543810764947
