"station","with_SM","without_sm","LT","PRE_w_p","cluster","rmse_w_sm_w_p","rmse_wo_sm_w_p","regime","PRE"
9312600,0.784452901503413,0.735232934362411,1,20.285956474108,1,30.8818128813727,34.5887898284089,"Interior",2028.5956474108
11383500,0.667084993467639,0.645013227043618,1,8.05650064422542,2,55.443040011911,57.8211227930668,"Maritime",805.650064422542
11523200,0.805913235023255,0.780362648507679,1,13.3657636821776,1,114.3309956232,122.834173993344,"Interior",1336.57636821776
12083000,0.402886368902578,0.241277920774717,1,23.6147884257331,2,85.7258673531069,98.0860498719683,"Maritime",2361.47884257331
12332000,0.646119859489043,0.62386060480623,1,7.76256923375449,1,47.5179065671707,49.4770389551356,"Interior",776.256923375449
13161500,0.655600325796175,0.601955036152119,1,15.2429649749101,1,24.5273575219069,26.6417582838413,"Interior",1524.29649749101
13338500,0.574094118319638,0.545966803341706,1,8.03430475252422,1,43.775344262031,45.6474625496553,"Interior",803.430475252422
14222500,0.144211022164264,0.0528928812778383,1,11.4135259661301,2,119.051947331001,126.48901060489,"Maritime",1141.35259661301
9312600,0.781316357399953,0.735232934362411,2,19.1259936867264,1,31.1056904836233,34.5887898284089,"Interior",1912.59936867264
12083000,0.369641435468966,0.241277920774717,2,19.3619609204696,2,88.0799833916094,98.0860498719683,"Maritime",1936.19609204696
12411000,0.667513689464416,0.636101673033576,2,10.4236136970771,1,87.2846270581294,92.2233707516188,"Interior",1042.36136970771
13161500,0.681908352604435,0.601955036152119,2,21.7173913946896,1,23.5719509272256,26.6417582838413,"Interior",2171.73913946896
9312600,0.782668399700615,0.735232934362411,3,19.6260085770014,1,31.0093837476509,34.5887898284089,"Interior",1962.60085770014
13161500,0.683413689733919,0.601955036152119,3,22.0878560651432,1,23.516108823737,26.6417582838413,"Interior",2208.78560651432
9312600,0.783102895338589,0.735232934362411,4,19.7866945915142,1,30.9783708097718,34.5887898284089,"Interior",1978.66945915142
13161500,0.699703258700928,0.601955036152119,4,26.0967320046229,1,22.9031229944061,26.6417582838413,"Interior",2609.67320046229
9312600,0.771909134291359,0.735232934362411,5,15.6469963002313,1,31.7676905335911,34.5887898284089,"Interior",1564.69963002313
13161500,0.712654988195243,0.601955036152119,5,29.2841629826659,1,22.4037762578369,26.6417582838413,"Interior",2928.41629826659
