ID,GAGEID_short,Elev_band,AvgWinterTemp,AvgAnnualTemp,PeakSWE,NovTemp,DecTemp,JanTemp,FebTemp,Cluster
Sierra Nevada_20,Sierra Nevada,20,1.117651483,6.817315665,332.244619,2.141417317,-1.702637123,-1.709977185,-0.392744797,1.574074074
Sierra Nevada_21,Sierra Nevada,21,0.765567804,6.485816137,370.0959223,1.792043972,-2.055033193,-2.076973498,-0.840590815,1.574074074
Sierra Nevada_22,Sierra Nevada,22,0.227895533,5.945832547,441.2733005,1.301495986,-2.603028802,-2.664709218,-1.459722199,1.425925926
Sierra Nevada_23,Sierra Nevada,23,0.068332227,5.95306199,350.3115016,1.142495145,-2.819240852,-2.880516633,-1.580947852,1.222222222
Sierra Nevada_24,Sierra Nevada,24,-0.459594102,5.243756581,420.2535567,0.645155691,-3.218451666,-3.317185021,-2.162177279,1.185185185
Sierra Nevada_25,Sierra Nevada,25,-0.946640867,4.677661738,511.7451529,0.137860952,-3.704143383,-3.807616091,-2.706674002,1.111111111
Sierra Nevada_26,Sierra Nevada,26,-1.464200401,4.186605754,550.2064776,-0.406392128,-4.245974619,-4.311211732,-3.201961959,1.037037037
Sierra Nevada_27,Sierra Nevada,27,-2.459736007,3.248632919,628.7912712,-1.398441392,-5.29506351,-5.359442477,-4.186463147,1.037037037
Sierra Nevada_28,Sierra Nevada,28,-3.215287267,2.385429137,728.7383874,-2.182374016,-6.032876309,-6.13703834,-5.035799544,1.037037037
Sierra Nevada_29,Sierra Nevada,29,-3.759289337,1.94529666,718.5806662,-2.734493786,-6.648438362,-6.687759468,-5.518566582,1.037037037
Sierra Nevada_3,Sierra Nevada,3,15.87552985,16.68324486,0.56812754,11.45366978,7.791750809,7.993287489,9.828425202,1.314814815
Sierra Nevada_30,Sierra Nevada,30,-4.319845408,1.33845759,766.4800823,-3.254622,-7.136205508,-7.230783352,-6.14554799,1.018518519
Sierra Nevada_31,Sierra Nevada,31,-4.882126479,0.866533891,719.433248,-3.894089004,-7.838324716,-7.835362912,-6.647823047,1.018518519
Sierra Nevada_32,Sierra Nevada,32,-5.276533787,0.42790265,633.6431657,-4.344024273,-8.154615093,-8.064482035,-7.050784588,1.018518519
Sierra Nevada_33,Sierra Nevada,33,-5.683801622,0.071185802,637.8667955,-4.817673796,-8.637167095,-8.513905595,-7.476042821,1.018518519
Sierra Nevada_34,Sierra Nevada,34,-6.304949373,-0.577478308,663.8543471,-5.456232328,-9.254820204,-9.132238424,-8.123707666,1.018518519
Sierra Nevada_35,Sierra Nevada,35,-6.890032673,-1.19449175,736.6451602,-6.066733472,-9.876074866,-9.744050254,-8.702257705,1.018518519
Sierra Nevada_4,Sierra Nevada,4,12.99777168,15.97019575,1.4727846,10.95801915,7.324809306,7.518589882,9.251740362,1.5
Sierra Nevada_5,Sierra Nevada,5,11.54676751,15.4772728,2.506413374,10.53577219,6.968544217,7.170076558,8.801496148,1.574074074
Sierra Nevada_6,Sierra Nevada,6,10.88114692,14.87005655,4.343711289,10.00379631,6.498018754,6.698389439,8.199060348,1.592592593
Sierra Nevada_7,Sierra Nevada,7,9.787315594,14.15986934,10.55182757,9.295114815,5.823766312,6.017436481,7.465248112,1.722222222
Sierra Nevada_8,Sierra Nevada,8,9.121455057,13.55746805,16.80716659,8.767266036,5.307376195,5.486802409,6.889975412,1.740740741
Sierra Nevada_9,Sierra Nevada,9,8.204819566,12.86278988,27.05631749,8.083918416,4.644192643,4.834051082,6.216319561,1.833333333
Upper Colorado Region_12,Upper Colorado Region,12,10.64482627,15.8603825,2.075257407,9.601162963,4.606356004,4.288556243,6.663860313,1
