GAGEID	Avg_elev
9217900	3184.107
9223000	2583.729
11473900	1122.188
11478500	923.0496
11482500	558.2799
11528700	1121.617
12041200	743.1267
12083000	834.816
12390700	1348.9
12411000	1202.523
12413000	1167.77
12452800	1519.764
12488500	1465.773
13011500	2470.613
13185000	1955.097
13310700	1943.643
13337000	1584.1
13338500	1384.55
13340000	1443.614
13340600	1442.679
14182500	818.2591
14222500	573.2823
14309500	736.2654
14400000	671.229
